calls,minutes,messages,mb_used,is_ultra
40.0,311.9000000000000,83.0,19915.42,0
85.0,516.75,56.0,22696.96,0
77.0,467.6600000000000,86.0,21060.450000000001,0
106.0,745.53,81.0,8437.39,1
66.0,418.74,1.0,14502.750000000000,0
58.0,344.56,21.0,15823.370000000001,0
57.0,431.6400000000000,20.0,3738.9000000000001,1
15.0,132.4,6.0,21911.6,0
7.0,43.39,3.0,2538.67,1
90.0,665.4100000000000,38.0,17358.61,0
82.0,560.5100000000000,20.0,9619.530000000001,1
45.0,344.32,13.0,19898.810000000001,0
51.0,437.1300000000000,61.0,21523.580000000002,0
56.0,433.0700000000000,16.0,16702.360000000001,0
108.0,587.9000000000000,0.0,14406.500000000000,1
6.0,22.13,0.0,2710.0900000000001,0
2.0,18.730000000000000,0.0,588.89,0
26.0,163.62000000000000,4.0,16870.340000000000,0
79.0,532.62,90.0,19908.310000000001,0
49.0,341.6700000000000,81.0,11770.28,1
93.0,691.37,31.0,25950.28,1
56.0,411.45999999999998,97.0,15393.910000000000,0
48.0,351.60000000000002,66.0,16469.9,1
11.0,96.05000000000000,19.0,2305.74,0
56.0,360.3,30.0,13560.15,0
53.0,356.22,52.0,22471.770000000000,0
81.0,624.71,38.0,8644.660000000000,1
154.0,1078.6400000000001,48.0,29335.15,1
37.0,286.68000000000001,44.0,19542.45,0
50.0,358.00999999999999,44.0,9998.83,1
41.0,276.81000000000000,0.0,19815.62,0
10.0,77.09,31.0,643.15,0
71.0,530.13,27.0,20698.51,0
65.0,482.35,7.0,23064.58,1
110.0,776.8500000000000,9.0,20790.93,1
120.0,814.8500000000000,0.0,20427.000000000000,1
76.0,543.1799999999999,43.0,31845.110000000001,1
64.0,422.6900000000000,0.0,11460.290000000001,0
23.0,146.18,33.0,9711.450000000001,0
81.0,519.48,34.0,12750.820000000000,0
34.0,183.28000000000000,0.0,18631.660000000000,0
11.0,85.31,7.0,10764.82,1
48.0,392.04,0.0,19122.13,0
50.0,323.99000000000001,10.0,20922.049999999999,1
98.0,665.5599999999999,106.0,19538.830000000002,0
35.0,235.58000000000001,97.0,20710.709999999999,0
76.0,535.9100000000000,65.0,11968.22,0
49.0,327.44999999999999,0.0,12049.91,1
5.0,49.950000000000003,17.0,3370.6900000000001,1
